,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,resnet18,resnet34,mobilenetv2,inceptionv3,googlenet,densenet121
187,187,187,187,187,187,1.2728019,1.5939796,0.3422083,2.5476193,4.1402183,1.0551598
188,188,188,188,188,188,1.3534894,1.6229893,0.7305392,2.36428,4.1259446,1.1175882
189,189,189,189,189,189,1.463448,1.8571049,0.78155816,2.5087497,4.2786446,1.1604908
190,190,190,190,190,190,1.4772588,1.9034479,0.9232065,2.5113802,4.4235334,1.2124435
191,191,191,191,191,191,1.6296929,1.853463,0.881744,2.3849971,4.686594,1.3194085
192,192,192,192,192,192,1.6051815,2.1342385,1.0941832,2.8499815,4.9108934,1.4289647
193,193,193,193,193,193,1.6514739,2.4809525,1.3834786,3.0765195,5.0964684,1.5057249
194,194,194,194,194,194,1.8941898,2.1706786,1.0424162,2.970527,5.3664494,1.4465747
195,195,195,195,195,195,1.7689809,2.3983927,1.3695666,3.3790882,5.0397906,1.5283679
196,196,196,196,196,196,1.9975685,2.2768373,1.2944734,3.5510771,5.03998,1.5948572
197,197,197,197,197,197,1.9197599,2.4466555,1.4785038,3.4775999,5.1068554,1.5927706
198,198,198,198,198,198,2.2897012,2.5636752,1.3027428,3.5580423,5.201831,1.5284678
199,199,199,199,199,199,2.097974,2.4685616,1.4112707,3.3673527,5.240812,1.6861897
200,200,200,200,200,200,2.1443844,2.6480515,1.5634298,3.4637523,5.6581454,1.8227841
201,201,201,201,201,201,2.2173064,2.6797647,1.5801793,3.5112405,5.388687,1.6884854
202,202,202,202,202,202,2.1693683,2.574203,1.824466,3.52238,5.6263814,1.8378122
203,203,203,203,203,203,2.0849855,2.5157793,1.6619704,3.5179152,5.356023,1.8295788
204,204,204,204,204,204,2.1704974,2.589081,2.091865,3.3578508,5.9555774,1.8518695
205,205,205,205,205,205,2.3524187,2.6156254,1.6230321,3.8783665,5.7944646,2.0677974
206,206,206,206,206,206,2.2046423,2.6007485,1.9068738,3.7247884,5.423795,2.0327713
207,207,207,207,207,207,2.1746643,2.541753,1.8425226,3.6400437,5.815321,2.0458875
