,lr_history,train_loss_history,train_loss1_history,train_loss2_history,train_epoch_loss_history,rmse_train_history,val_loss_history,val_loss1_history,val_loss2_history,val_epoch_loss_history,rmse_val_history
4074,1.8234028718818632e-05,0.010764409,0.0018401204,0.008924289,,,0.014785327,0.002530812,0.012254515,,
4075,1.8217869591858162e-05,0.0033513412,0.00048885186,0.0028624893,,,0.0027102684,0.00024090042,0.002469368,,
4076,1.8201706549389183e-05,0.002484775,0.0003771875,0.0021075874,,,0.0051140613,0.00088395865,0.0042301025,,
4077,1.8185539611078924e-05,0.008299487,0.0019843625,0.0063151238,,,0.0022499973,0.00059006433,0.001659933,,
4078,1.8169368796599323e-05,0.005107832,0.0016137225,0.0034941095,,,0.006009045,0.0011675617,0.004841483,,
4079,1.8153194125627066e-05,0.00434143,0.0011381661,0.003203264,,,0.0027761126,0.0003542595,0.0024218531,,
4080,1.8137015617843515e-05,0.012529548,0.00086527877,0.0116642695,,,0.0056901914,0.0005651634,0.005125028,,
4081,1.8120833292934694e-05,0.042331535,0.0022233103,0.040108226,,,0.006867787,0.00069379475,0.006173992,,
4082,1.8104647170591285e-05,0.00491593,0.0007761965,0.0041397335,,,0.008276563,0.0014361595,0.006840403,,
4083,1.8088457270508585e-05,0.0047502625,0.0011477319,0.0036025306,,,0.0037676129,0.002023645,0.0017439678,,
4084,1.8072263612386493e-05,0.009107928,0.004105703,0.005002225,,,0.0022646575,0.00037148962,0.001893168,,
4085,1.8056066215929466e-05,0.010548091,0.0026677381,0.007880352,,,0.0025932668,0.0005304628,0.0020628038,,
4086,1.8039865100846527e-05,0.007528915,0.0014144345,0.0061144806,,,0.002665562,0.00070254825,0.0019630138,,
4087,1.802366028685122e-05,0.029612731,0.000898125,0.028714607,,,0.007893713,0.00037461374,0.0075191,,
4088,1.8007451793661577e-05,0.0081210155,0.0044910507,0.0036299648,,,0.0040109158,0.0021705122,0.0018404034,,
4089,1.799123964100013e-05,0.006678452,0.003799143,0.0028793085,,,0.0071130274,0.0006101269,0.0065029003,,
4090,1.797502384859384e-05,0.02507324,0.0005834018,0.024489839,,,0.006708079,0.0013035184,0.0054045604,,
4091,1.7958804436174103e-05,0.006999741,0.0008761254,0.0061236154,,,0.0070636705,0.0007388512,0.0063248193,,
4092,1.794258142347674e-05,0.0034615677,0.001080524,0.0023810437,,,0.0017541351,0.00093968597,0.00081444916,,
4093,1.7926354830241928e-05,0.0040410245,0.0020579314,0.001983093,,,0.0057591847,0.00051627913,0.0052429056,,
