,lr_history,train_total_loss_history,train_epoch_loss_history,rmse_train_history,val_total_loss_history,val_epoch_loss_history,rmse_val_history
246,1.156367041198502e-05,0.022159582,,,0.030326258,,
247,1.161048689138577e-05,0.021747777,,,0.1129601,,
248,1.1657303370786517e-05,0.0647893,,,0.49103305,,
249,1.1704119850187266e-05,0.17552845,,,0.06417681,,
250,1.1750936329588016e-05,0.017805675,,,0.13725021,,
251,1.1797752808988765e-05,0.09091531,,,0.35069293,,
252,1.1844569288389513e-05,0.36603048,,,0.13819337,,
253,1.1891385767790262e-05,0.015320735,,,0.04330216,,
254,1.1938202247191012e-05,0.020191055,,,0.048813377,,
255,1.1985018726591761e-05,0.023365315,,,0.18080315,,
256,1.203183520599251e-05,0.05008503,,,0.0074086604,,
257,1.207865168539326e-05,0.05200978,,,0.03472482,,
258,1.2125468164794009e-05,0.15965259,,,0.0032867861,,
259,1.2172284644194758e-05,0.01498119,,,0.096005574,,
260,1.2219101123595506e-05,0.03434898,,,0.15702666,,
261,1.2265917602996255e-05,0.029425105,,,0.47870505,,
262,1.2312734082397003e-05,0.12436859,,,0.24067622,,
263,1.2359550561797752e-05,0.05213144,,,0.0062117367,,
264,1.2406367041198502e-05,0.027673632,,,0.019422067,,
265,1.2453183520599251e-05,0.0122197885,,,0.013100864,,
266,1.25e-05,0.065338455,,,0.23371308,,
267,1.254681647940075e-05,0.013697388,,,0.042814508,,
268,1.25936329588015e-05,0.061224032,,,0.1730665,,
269,1.2640449438202249e-05,0.054888427,,,0.01261029,,
270,1.2687265917602998e-05,0.06501704,,,0.4530606,,
271,1.2734082397003746e-05,0.41452143,,,0.28486794,,
272,1.2780898876404495e-05,0.087583885,,,0.05859944,,
273,1.2827715355805244e-05,0.029333863,,,0.19239712,,
274,1.2874531835205994e-05,0.25007978,,,0.09349567,,
275,1.2921348314606743e-05,0.12879728,,,0.12584308,,
276,1.2968164794007493e-05,0.050951913,,,0.019143198,,
277,1.3014981273408242e-05,0.16583233,,,0.75556093,,
278,1.3061797752808991e-05,0.116596274,,,0.14146109,,
279,1.3108614232209737e-05,0.082425065,,,0.37560415,,
280,1.3155430711610487e-05,0.13185243,,,0.30551708,,
281,1.3202247191011236e-05,0.107312344,,,0.32112417,,
282,1.3249063670411985e-05,0.44687432,,,0.050893433,,
283,1.3295880149812733e-05,0.07631831,,,0.33997262,,
284,1.3342696629213482e-05,0.089919135,,,0.10034913,,
285,1.3389513108614232e-05,0.034545317,,,0.19612485,,
286,1.3436329588014981e-05,0.04681454,,,0.08998867,,
287,1.348314606741573e-05,0.07557585,,,0.32183972,,
288,1.352996254681648e-05,0.021779407,,,0.089539915,,
289,1.357677902621723e-05,0.30284262,,,0.040743485,,
290,1.3623595505617979e-05,0.08357227,,,0.015747568,,
291,1.3670411985018728e-05,0.054262795,,,0.12205421,,
292,1.3717228464419476e-05,0.13511512,,,0.051051766,,
293,1.3764044943820225e-05,0.056441292,,,0.30244428,,
294,1.3810861423220975e-05,0.08758241,,,0.05233374,,
295,1.3857677902621724e-05,0.11003253,,,0.17569776,,
296,1.3904494382022473e-05,0.06725877,,,0.09709725,,
297,1.3951310861423223e-05,0.044839825,,,0.27118072,,
298,1.3998127340823972e-05,0.097700246,,,0.13386211,,
299,1.4044943820224721e-05,0.12648477,,,0.049615238,,
300,1.409176029962547e-05,0.0693355,,,0.136874,,
301,1.4138576779026218e-05,0.043741085,,,0.13909648,,
302,1.4185393258426968e-05,0.036456343,,,0.18675768,,
303,1.4232209737827715e-05,0.0053331363,,,0.13114645,,
304,1.4279026217228463e-05,0.04034093,,,0.03957953,,
305,1.4325842696629212e-05,0.024004832,,,0.069709815,,
306,1.4372659176029962e-05,0.06141375,,,0.14652918,,
307,1.4419475655430711e-05,0.01966599,,,0.052356817,,
308,1.446629213483146e-05,0.39112654,,,0.07935814,,
309,1.451310861423221e-05,0.04099444,,,0.36132318,,
310,1.455992509363296e-05,0.029294942,,,0.0044478844,,
311,1.4606741573033709e-05,0.017639788,,,0.38600698,,
312,1.4653558052434458e-05,0.019423991,,,0.32807666,,
313,1.4700374531835206e-05,0.018710976,,,0.12595858,,
314,1.4747191011235955e-05,0.005344937,,,0.17469777,,
315,1.4794007490636705e-05,0.037704162,,,0.23477948,,
316,1.4840823970037454e-05,0.0032673075,,,0.4510702,,
317,1.4887640449438203e-05,0.073490866,,,0.2640635,,
318,1.4934456928838953e-05,0.05090736,,,0.04318511,,
319,1.4981273408239702e-05,0.007896275,,,0.21895398,,
320,1.5028089887640451e-05,0.012544561,,,0.18950115,,
321,1.50749063670412e-05,0.026787104,,,0.12237843,,
322,1.5121722846441948e-05,0.037428446,,,0.19924915,,
323,1.5168539325842698e-05,0.12697195,,,0.07106314,,
324,1.5215355805243447e-05,0.002932604,,,0.006565945,,
325,1.5262172284644197e-05,0.17718804,,,0.35440803,,
326,1.5308988764044944e-05,0.21047042,,,0.51073503,,
327,1.5355805243445692e-05,0.050137244,,,0.16413616,,
328,1.5402621722846443e-05,0.08375709,,,0.22060373,,
329,1.544943820224719e-05,0.14078039,,,0.13723338,,
330,1.5496254681647938e-05,0.033463582,,,0.009944215,,
331,1.554307116104869e-05,0.12678243,,,0.028131526,,
332,1.5589887640449437e-05,0.017008742,,,0.11796953,,
333,1.5636704119850188e-05,0.022745721,,,0.03156835,,
334,1.5683520599250936e-05,0.33155993,,,0.13632914,,
335,1.5730337078651687e-05,0.035066303,,,0.10566425,,
336,1.5777153558052435e-05,0.12564683,,,0.15859047,,
337,1.5823970037453186e-05,0.01079806,,,0.027625399,,
338,1.5870786516853933e-05,0.026362138,,,0.49465477,,
339,1.591760299625468e-05,0.12870486,,,0.044158053,,
340,1.5964419475655432e-05,0.05055263,,,0.0946009,,
341,1.601123595505618e-05,0.23118797,,,0.33260497,,
342,1.605805243445693e-05,0.09132773,,,0.28932142,,
343,1.610486891385768e-05,0.010541001,,,0.12781903,,
344,1.615168539325843e-05,0.13421586,,,0.11535623,,
345,1.6198501872659177e-05,0.066091776,,,0.3167089,,
346,1.6245318352059928e-05,0.07890789,,,0.30912346,,
347,1.6292134831460676e-05,0.012271693,,,0.5038744,,
348,1.6338951310861424e-05,0.098487295,,,0.13616356,,
349,1.6385767790262175e-05,0.03968404,,,0.014805316,,
350,1.6432584269662922e-05,0.041671436,,,0.038245358,,
351,1.647940074906367e-05,0.065708034,,,0.05970226,,
352,1.6526217228464418e-05,0.008170431,,,0.29833812,,
353,1.657303370786517e-05,0.021184266,,,0.15628767,,
354,1.6619850187265916e-05,0.025320075,,,0.020478306,,
355,1.6666666666666667e-05,0.023951957,,,0.11877096,,
356,1.6713483146067415e-05,0.035924923,,,0.2886382,,
357,1.6760299625468166e-05,0.019283948,,,0.25474885,,
358,1.6807116104868914e-05,0.06469093,,,0.1529626,,
359,1.6853932584269665e-05,0.025289545,,,0.48210326,,
360,1.6900749063670413e-05,0.0063986275,,,0.0070238854,,
361,1.694756554307116e-05,0.06144049,,,0.17681791,,
362,1.699438202247191e-05,0.027174233,,,0.1340646,,
363,1.704119850187266e-05,0.04104953,,,0.45250365,,
364,1.708801498127341e-05,0.006741698,,,0.11011191,,
365,1.7134831460674158e-05,0.024298701,,,0.046650592,,
366,1.718164794007491e-05,0.08269309,,,0.12744112,,
367,1.7228464419475657e-05,0.031124836,,,0.57167476,,
368,1.7275280898876404e-05,0.049036004,,,0.18455128,,
369,1.7322097378277155e-05,0.03505001,,,0.16146688,,
370,1.7368913857677903e-05,0.0049273116,,,0.15860996,,
371,1.7415730337078654e-05,0.08322991,,,0.16485052,,
372,1.74625468164794e-05,0.01183706,,,0.14968282,,
